Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Netherlands,,,,6.94174,10.21133,16.80824,8.24879,16.30546,12.46214,4.39004,13.16937,21.98674,37.65643,78.44281,124.07359,144.02437,69.45731,32.85937,20.44926,90.60556,63.12145,107.52948,287.05348,64.49139,48.75849,27.53613,,49.38558,56.79623,43.37812,180.29829,86.33255,79.52541,121.49625999999999,101.10282000000001,
Nigeria,,,,0.0,1.99143,0.0,0.0,0.0,0.50013,0.0,0.00204,0.01301,0.01196,0.012,0.02192,0.0523,1.69794,0.03274,0.15273,0.48333,3.26453,5.54019,2.73497,1.17268,0.43824,12.56531,1.51652,7.39293,2.72447,7.22575,2.58106,1.33514,0.48251,2.12881,1.0226,
Norway,,,,,,,2.7763,4.12577,1.32666,1.79464,9.63439,9.39485,8.57457,9.27313,37.87439,24.69651,23.25668,13.59108,11.31214,12.22714,20.31982,47.91328,27.0533,23.28989,8.28896,21.77358,19.43991,17.31811,15.86514,26.72504,17.78772,16.68438,21.44417,19.03335,16.41936,
Pakistan,,,,,,,0.0385,0.06187,0.00506,0.14333,0.00291,1.24072,2.37811,0.33447,0.011,0.00907,0.31068,0.4176,0.0,0.72051,3.80969,1.25787,2.51489,1.5269,0.15607,0.07769,,0.66472,0.34677,0.57563,0.28367,2.86931,1.79283,1.7913800000000002,0.12971000000000002,
Philippines,,,,,,,0.07489,1.03826,1.52032,0.70606,3.055,3.18961,4.52979,3.50981,8.25959,2.58333,4.08426,1.81134,1.35299,3.59844,10.5941,8.017,11.90648,7.6177,8.40037,6.55334,6.5653,6.91183,7.54816,6.24527,3.98096,6.77771,7.82946,6.707229999999999,6.795520000000001,
Poland,,,,,0.00336,0.07582,0.98547,0.49278,0.59994,0.37838,0.76613,1.34662,1.93603,2.9432,9.6467,9.74611,7.89466,3.92189,2.58714,3.02829,9.63995,13.61882,7.33022,4.50776,3.6528,12.88915,16.06452,9.02351,7.96049,5.37955,7.37393,12.13759,8.6575,7.63133,8.958860000000001,
Portugal,,,,,,,1.2727,2.03727,0.77633,2.7674,2.30696,2.77945,3.17268,6.46609,17.7015,27.10231,8.01791,7.1891,3.81332,11.65333,6.74449,22.96114,24.14847,4.47124,6.7014,7.59359,4.12074,12.48153,5.36243,18.53181,6.2259,3.92981,4.5378,14.05916,7.53835,
Russia,,,,,,,,,0.02378,0.24694,0.49476,2.27001,0.94088,4.71946,7.18486,2.25413,4.8545,3.37147,8.78136,34.96102,25.18153,63.45514,54.3451,156.32406,81.80111,35.95332,108.87851,87.92075,114.95503,67.12864,18.2641,26.60663,41.99367,16.4158,18.20191,
Saudi Arabia,,,,,,,0.6155,0.82267,0.63637,0.35509,1.64971,0.03789,2.54435,0.41252,4.01584,1.74075,0.45101,2.04545,2.9189,0.08663,0.97029,2.47467,18.86713,5.10993,0.68411,4.09577,,4.39267,5.08867,4.99987,4.71613,4.98998,11.89485,9.3576,74.18396000000001,
Singapore,0.03,0.02,0.02,0.31,1.44,5.15,1.93,1.56,3.99,3.58,5.42,5.2,11.11,6.03,22.1,20.67,42.68,7.61,9.09,21.67,27.58,31.74,72.36,61.47,21.6,40.74,37.75,65.35,36.29,73.9,65.48,62.55,79.71778,60.459230000000005,83.04184,16.55361
South Africa,,,,,,,3.24967,2.07031,5.66274,4.58527,3.50328,8.46199,17.37122,36.5328,18.00552,17.74401,19.61137,6.58633,10.70028,27.03691,16.34392,27.58195,34.02365,26.10008,32.56158,20.63512,,15.64826,11.42558,20.06645,44.88739,22.3178,16.69246,17.44295,17.942919999999997,
South Korea,,,,,0.31160000000000004,0.17132,0.98036,0.28188,0.5105,0.89146,4.3567,2.1833,9.78752,13.116010000000001,31.65249,28.168020000000002,26.145529999999997,26.43028,16.28179,13.150549999999999,29.378580000000003,63.35013,74.7853,52.43938,50.10051,46.64332,52.94328,53.820620000000005,48.893480000000004,76.74574000000001,70.02405,82.79281,71.37535000000001,91.04517,88.539,
Spain,,,,,3.45674,11.70012,13.75738,8.95298,5.07412,13.29558,6.9111,10.15664,22.69174,35.26381,77.57539,123.01868,44.98974,30.59203,44.81242,48.82182,114.91556,195.61699,162.53176,96.94746,33.64613,79.22305,51.87988,81.69456,25.47217,55.61609,43.37914,43.82111,87.49683,80.56091,49.29528,
Sweden,,,,,15.80234,12.78976,11.69267,12.96581,10.50446,8.3458,19.59901,20.25665,24.97124,56.69239,76.62686,49.10737,39.43228,19.42486,16.47636,23.70035,39.48025,48.5349,50.55889,57.28197,14.96637,24.89038,30.36288,18.64472,20.08805,29.93105,22.80582,55.01515,37.51176,37.16742,53.576589999999996,
Switzerland,,,,,,,7.75,9.6,6.09,18.54,16.36,52.64,83.57,33.76,60.07,62.39,39.69,22.35,28.15,19.8,57.52,92.54,195.96,160.87,71.57,47.09,49.3,113.24,22.39,109.88,105.83,105.94,32.16625,93.6791,68.44171,14.138069999999999
Taiwan,,0.01661,0.029,0.05914,1.1256,2.31616,2.23153,0.52352,0.0676,0.15089,0.65671,0.92221,1.68684,3.50841,4.88501,14.69144,12.62524,17.43528,7.21214,2.89936,14.41594,22.38204,14.01429,8.40027,22.0316,8.85744,11.6978,16.60505,7.13912,10.54294,25.29338,21.51941,15.5628,18.035880000000002,6.95755,
Thailand,,,,,,,0.22384,1.17462,0.57614,1.04375,2.24943,1.62813,2.72809,6.44634,5.92836,5.21318,3.61955,1.49105,1.53566,4.33793,7.05318,7.14033,11.27506,4.73689,4.3462,12.32191,13.55116,21.16145,15.70278,10.17702,4.84711,16.6881,12.04947,18.9415,15.614780000000001,
Turkey,,,,,0.24467,0.26106,0.05793,0.17125,0.83228,0.29849,0.85525,0.76907,1.04056,2.8102,0.94043,0.69404,2.2456,0.7104,1.117,3.23315,31.24187,21.40655,22.93232,19.10525,7.13995,12.55521,,23.63908,19.01481,16.11373,18.04212,6.65917,5.96392,12.82793,3.7617399999999996,
United Arab Emirates,,,,,,,,,,,,,,,0.25705,0.02712,1.32147,0.32965,0.25171,1.97936,24.24364,14.65709,56.53411,46.96007,17.4552,25.51534,22.34518,12.01798,9.85012,11.24145,20.15642,23.97147,9.15933,25.93332,24.89903,
United Kingdom,28.34548,63.60517,93.71826,115.65866,161.72585,116.33894000000001,66.039,64.75514,61.19066,75.31053,171.97935999999999,174.90260999999998,227.24073,353.31985,791.40549,651.26466,239.28114000000002,211.72101999999998,179.84793,335.14696999999995,373.32213,532.77737,904.04055,398.33126,261.15297,332.00632,246.24901,211.15089,156.94104000000002,405.43186,520.5122700000001,333.68207,428.25539000000003,457.22387,330.44732,88.26671
United States of America,305.64,353.54,373.17,586.05,466.09,254.16,176.99,185.13,317.61,414.7,666.58,750.39,1116.22,1816.41,2138.18,1965.81,1010.58,520.54,668.86,1006.42,1342.1,1843.89,1967.06,1215.09,877.61,981.8,1247.04,995.65,1214.79,2153.8,2417.39,1784.77,1761.54,1931.81071,1872.0046,230.4091
Vietnam,,,,,,,,,,,,21.73,89.18,6.78,74.02,41.99,116.56,283.99,123.54,32.08,66.77,587.34,1795.2,1128.67,1274.12,1932.87,3678.4,4177.79,2204.09,3261.97,5357.69,5797.86,8373.62,5060.29,4782.28,
